item_num,ele1,description,fabrication_id,item_size,inventory_type,season,season_yr,prod_line,sbu_id,ats,avail_date,warehouse_id,inv_status,cc_sort,company,item_image,item_description_long,commodity,commodity_description,item_num_display,wholesale,msrp,landed_cost,compute_0025,latest_receipt_date,body_number,image_file_path,ele2,ele3,ele4,ele5,item_class,collection_group_code,description
AHOME,133,CLEAR,,120  ,S,S ,2023,ROSS,CDL,0,02/11/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\AHOME.JPG,ASANA HOME 72X72 SC WITH HOOKS,SHOWER,SHOWER CURTAINS 72X72 MICROFI ,AHOME-133-120,0,0,1.22,A,11/6/2023 00:00:00,OME,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,120, , , ,FG  ,,
ALBANY,001,BLACK,,302  ,S,S ,2023,ROSS,CDL,69,09/18/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/84 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-001-302,0,0,2.65,A,9/22/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,020,GREY,,301  ,S,S ,2022,ROSS,CDL,61,10/16/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-020-301,0,0,2.03,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,020,GREY,,306  ,S,S ,2023,ROSS,CDL,9,10/16/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60X120 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-020-306,0,0,3.53,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,306, , , ,FG  ,,
ALBANY,248,LINEN,,301  ,S,S ,2022,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-301,0,0,2.02,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,248,LINEN,,301  ,S,S ,2022,ROSS,CDL,0,02/04/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-301,0,0,2.02,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,248,LINEN,,301  ,S,S ,2022,ROSS,CDL,1600,03/19/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-301,0,0,2.02,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,248,LINEN,,302  ,S,S ,2022,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/84 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-302,0,0,2.63,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,248,LINEN,,302  ,S,S ,2022,ROSS,CDL,0,01/05/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/84 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-302,0,0,2.63,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,248,LINEN,,302  ,S,S ,2022,ROSS,CDL,1000,03/19/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/84 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-302,0,0,2.63,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,302, , , ,FG  ,,
ALBANY,248,LINEN,,304  ,S,S ,2022,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/104 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-304,0,0,3.1,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,304, , , ,FG  ,,
ALBANY,248,LINEN,,304  ,S,S ,2022,ROSS,CDL,0,01/05/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/104 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-304,0,0,3.1,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,304, , , ,FG  ,,
ALBANY,248,LINEN,,304  ,S,S ,2022,ROSS,CDL,1040,03/19/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60/104 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-304,0,0,3.1,A,8/16/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,304, , , ,FG  ,,
ALBANY,248,LINEN,,306  ,S,S ,2023,ROSS,CDL,-800,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 60X120 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-248-306,0,0,3.53,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,306, , , ,FG  ,,
ALBANY,280,IVORY,,301  ,S,S ,2023,ROSS,CDL,0,,DIR,ON HAND,1,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-280-301,0,0,2.04,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,280,IVORY,,301  ,S,S ,2023,ROSS,CDL,14,02/04/2024,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-280-301,0,0,2.04,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
ALBANY,280,IVORY,,301  ,S,S ,2023,ROSS,CDL,0,10/16/2023,DIR,DUE MAKER,3,CDL,\\SVR-GA-FS2\IMAGES\COLORDRIFT\ALBANY.JPG,ALBANY 52/70 TABLECLOTH,TABLECLOTH,TABLECLOTH,ALBANY-280-301,0,0,2.04,A,10/17/2023 00:00:00,BANY,\\SVR-GA-FS2\IMAGES\COLORDRIFT\,301, , , ,FG  ,,
